name,size,comparisons(PathSearchLength = numKnots),limit(PathSearchLength as low as still accurate),PathSearchLength,Necessary Search Space,2^n,1.75^n,1.25^n,n^5,n^2,n^3,n^4
circle_in_5_arc,11,970,970,1,100.00%,"2,048",471,18,"1,771,561",121,"1,331","14,641"
two_circle_in_10,20,"6,621","6,621",1,100.00%,"1,048,576","72,571",190,"64,000,000",400,"8,000","160,000"
circle_in_5,40,"211,086","211,086",1,100.00%,"1,099,511,627,776","5,266,498,289","36,119","4,096,000,000","1,600","64,000","2,560,000"
wi29_6-25p20p19,13,"259,541","158,973",4,61.25%,"8,192","1,444",30,"4,826,809",169,"2,197","28,561"
wi29_9-25p20,15,"633,063","53,463",2,8.45%,"32,768","4,422",51,"11,390,625",225,"3,375","50,625"
qa194_60-80,21,"1,354,677","588,341",4,43.43%,"2,097,152","126,999",247,"85,766,121",441,"9,261","194,481"
djbouti,38,"1,434,301","611,224",4,42.61%,"274,877,906,944","1,719,672,911","21,372","3,010,936,384","1,444","54,872","2,085,136"
circle_in_100,100,"1,970,690","1,970,690",1,100.00%,"1,267,650,600,228,230,000,000,000,000,000","2,012,819,673,527,780,000,000,000","247,933,511,097","1,000,000,000,000","10,000","1,000,000","100,000,000"
wi29,29,"2,871,240","1,441,675",4,50.21%,"536,870,912","11,171,292","2,015","594,823,321",841,"24,389","707,281"
qa194_120-140,21,"4,857,734","120,456",1,2.48%,"2,097,152","126,999",247,"85,766,121",441,"9,261","194,481"
qa194_160-180,21,"5,076,825","864,548",3,17.03%,"2,097,152","126,999",247,"85,766,121",441,"9,261","194,481"
djbouti_8-14,33,"5,205,340","379,236",2,7.29%,"8,589,934,592","104,774,502","5,756","1,291,467,969","1,089","35,937","1,185,921"
qa194_60-80WH,22,"9,785,393","141,877",1,1.45%,"4,194,304","222,248",321,"113,379,904",484,"10,648","234,256"
qa194_160-180WH,22,"11,557,041","147,801",1,1.28%,"4,194,304","222,248",321,"113,379,904",484,"10,648","234,256"
three_circle_in_10,31,"13,434,313","531,015",1,3.95%,"2,147,483,648","34,212,082","3,406","887,503,681",961,"29,791","923,521"
circle_in_200,200,"18,015,159","18,015,159",1,100.00%,"1,606,938,044,258,990,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","4,051,443,038,140,500,000,000,000,000,000,000,000,000,000,000,000","61,471,025,924,686,900,000,000","64,000,000,000,000","40,000","8,000,000","1,600,000,000"
qa194_120-140WH,22,"18,633,423","268,841",1,1.44%,"4,194,304","222,248",321,"113,379,904",484,"10,648","234,256"
4_rings,40,"27,262,751","352,055",1,1.29%,"1,099,511,627,776","5,266,498,289","36,119","4,096,000,000","1,600","64,000","2,560,000"
qa194_20-60,41,"81,624,575","2,618,906",2,3.21%,"2,199,023,255,552","9,216,372,006","46,955","4,750,104,241","1,681","68,921","2,825,761"
qa194_20-60WH,42,"273,189,901","14,524,501",2,5.32%,"4,398,046,511,104","16,128,651,011","61,041","5,489,031,744","1,764","74,088","3,111,696"
qa194_120-160WH,42,"290,147,898","18,816,769",2,6.49%,"4,398,046,511,104","16,128,651,011","61,041","5,489,031,744","1,764","74,088","3,111,696"
6_rings,60,"447,157,750","2,690,613",1,0.60%,"1,152,921,504,606,850,000","382,193,169,531,939","6,864,377","46,656,000,000","3,600","216,000","12,960,000"
qa194_120-180WH,62,"1,502,269,597","4,479,374",1,0.30%,"4,611,686,018,427,390,000","1,170,466,581,691,560","11,600,797","56,800,235,584","3,844","238,328","14,776,336"
8_rings,80,"2,689,423,048","10,472,238",1,0.39%,"1,208,925,819,614,630,000,000,000","27,736,004,231,356,500,000","1,304,572,395","262,144,000,000","6,400","512,000","40,960,000"
10_rings,100,"9,772,481,590","28,948,904",1,0.30%,"1,267,650,600,228,230,000,000,000,000,000","2,012,819,673,527,780,000,000,000","247,933,511,097","1,000,000,000,000","10,000","1,000,000","100,000,000"
