"Name","Total Time","Total Time (CPU)","Hits"
"main","6,654 ms (-0%)","6,313 ms (-0%)","1"
" ixdar.canvas.IxdarWindow.main ()","6,654 ms (-0%)","6,313 ms (-0%)","1"
"  ixdar.canvas.IxdarWindow.runGLFW ()","6,654 ms (-0%)","6,313 ms (-0%)","1"
"   ixdar.canvas.IxdarWindow.init ()","6,654 ms (-0%)","6,313 ms (-0%)","1"
"    ixdar.scenes.mesh.MeshNodeViewerScene.initGL ()","6,654 ms (-0%)","6,313 ms (-0%)","1"
"     ixdar.platform.gl.lwjgl.LwjglPlatform.loadSourceAsync ()","6,654 ms (-0%)","6,313 ms (-0%)","1"
"      ixdar.scenes.mesh.MeshNodeViewerScene$$Lambda.0x00000248db0b08e0.accept ()","6,654 ms (-0%)","6,313 ms (-0%)","1"
"       ixdar.scenes.mesh.MeshNodeViewerScene.lambda$0 ()","6,654 ms (-0%)","6,313 ms (-0%)","1"
"        ixdar.geometry.mesh.graph.NodeGraphRuntime.executeGraphToMesh ()","6,654 ms (-0%)","6,313 ms (-0%)","1"
"         ixdar.geometry.mesh.graph.NodeGraphRuntime.executeGraphResult ()","6,654 ms (-0%)","6,313 ms (-0%)","1"
"          ixdar.geometry.mesh.nodes.modifier.SubdivisionMeshNode.evaluate ()","6,654 ms (-0%)","6,313 ms (-0%)","1"
"           ixdar.geometry.mesh.nodes.modifier.SubdivisionMeshNode.applyCatmullClark ()","6,654 ms (-0%)","6,313 ms (-0%)","1"
"            ixdar.geometry.mesh.data.HalfEdgeMeshEngine.bulkAllocate ()","4,650 ms (-0%)","4,650 ms (-0%)","2"
"             ixdar.geometry.mesh.data.HalfEdgeMesh.<init> ()","2,746 ms (-0%)","2,746 ms (-0%)","1"
"              Self time","2,337 ms (-0%)","2,337 ms (-0%)","1"
"              ixdar.geometry.mesh.data.IntIdList.<init> ()","409 ms (-0%)","409 ms (-0%)","1"
"             ixdar.geometry.mesh.data.HalfEdgeMeshEngine.addFaceInternal ()","1,365 ms (-0%)","1,365 ms (-0%)","2"
"              ixdar.geometry.mesh.data.HalfEdgeMeshEngine.ensureEdgePair ()","1,263 ms (-0%)","1,263 ms (-0%)","4"
"               ixdar.geometry.mesh.data.HalfEdgeMeshEngine.createEdgePair ()","908 ms (-0%)","908 ms (-0%)","6"
"                java.util.HashMap.put ()","599 ms (-0%)","599 ms (-0%)","4"
"                ixdar.geometry.mesh.data.IntIdList.addUnique ()","308 ms (-0%)","308 ms (-0%)","4"
"                 ixdar.geometry.mesh.data.IntIdList.contains ()","308 ms (-0%)","308 ms (-0%)","4"
"                 Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                Self time","0.0 ms (0%)","0.0 ms (0%)","6"
"               java.util.HashMap.get ()","252 ms (-0%)","252 ms (-0%)","4"
"               ixdar.geometry.mesh.data.HalfEdgeMeshEngine.ensureDirectedEdgeAvailable ()","102 ms (-0%)","102 ms (-0%)","2"
"                java.util.HashMap.containsKey ()","102 ms (-0%)","102 ms (-0%)","2"
"                Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"               Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"              Self time","102 ms (-0%)","102 ms (-0%)","2"
"             Self time","537 ms (-0%)","537 ms (-0%)","2"
"            Self time","1,567 ms (-0%)","1,567 ms (-0%)","1"
"            ixdar.geometry.mesh.nodes.modifier.SubdivisionMeshNode.parallelRange ()","436 ms (-0%)","95.4 ms (-0%)","2"
"             java.util.stream.IntPipeline$Head.forEach ()","436 ms (-0%)","95.4 ms (-0%)","2"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"ForkJoinPool.commonPool-worker-12","340 ms (-0%)","340 ms (-0%)","1"
" java.util.concurrent.ForkJoinWorkerThread.run ()","340 ms (-0%)","340 ms (-0%)","1"
"  java.util.concurrent.ForkJoinPool.runWorker ()","340 ms (-0%)","340 ms (-0%)","1"
"   java.util.concurrent.ForkJoinPool.scan ()","340 ms (-0%)","340 ms (-0%)","1"
"    java.util.concurrent.ForkJoinPool$WorkQueue.topLevelExec ()","340 ms (-0%)","340 ms (-0%)","1"
"     java.util.concurrent.ForkJoinTask.doExec ()","340 ms (-0%)","340 ms (-0%)","1"
"      java.util.concurrent.CountedCompleter.exec ()","340 ms (-0%)","340 ms (-0%)","1"
"       java.util.stream.ForEachOps$ForEachTask.compute ()","340 ms (-0%)","340 ms (-0%)","1"
"        java.util.stream.AbstractPipeline.copyInto ()","340 ms (-0%)","340 ms (-0%)","1"
"         java.util.Spliterator$OfInt.forEachRemaining ()","340 ms (-0%)","340 ms (-0%)","1"
"          java.util.stream.Streams$RangeIntSpliterator.forEachRemaining ()","340 ms (-0%)","340 ms (-0%)","1"
"           java.util.stream.ForEachOps$ForEachOp$OfInt.accept ()","340 ms (-0%)","340 ms (-0%)","1"
"            ixdar.geometry.mesh.nodes.modifier.SubdivisionMeshNode$$Lambda.0x00000248db1029a8.accept ()","340 ms (-0%)","340 ms (-0%)","1"
"             ixdar.geometry.mesh.nodes.modifier.SubdivisionMeshNode.lambda$7 ()","340 ms (-0%)","340 ms (-0%)","1"
"              ixdar.geometry.mesh.data.HalfEdgeMesh.isBoundaryVertex ()","340 ms (-0%)","340 ms (-0%)","1"
"              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
