h,tauMin,kScale,count,agree,refOnly,genOnly,energy,wallSec
0.025,0.6,0.05,276,4,36,272,511.626,3.11
0.025,0.6,0.1,270,4,36,266,501.698,3.15
0.025,0.6,0.2,264,4,36,260,495.337,3.07
0.025,0.7,0.05,228,6,34,222,435.436,3.24
0.025,0.7,0.1,226,6,34,220,428.435,3.33
0.025,0.7,0.2,220,6,34,214,423.731,3.25
0.025,0.8,0.05,158,5,35,153,322.204,3.58
0.025,0.8,0.1,156,5,35,151,318.000,3.51
0.025,0.8,0.2,150,5,35,145,314.235,3.56
0.025,0.9,0.05,94,2,38,92,181.983,5.72
0.025,0.9,0.1,92,2,38,90,178.674,5.68
0.025,0.9,0.2,88,2,38,86,175.865,5.66
0.03,0.6,0.05,216,4,35,211,381.750,2.45
0.03,0.6,0.1,214,4,35,209,374.073,2.44
0.03,0.6,0.2,208,4,35,203,366.145,2.37
0.03,0.7,0.05,178,1,39,177,332.796,2.34
0.03,0.7,0.1,176,1,39,175,328.565,2.34
0.03,0.7,0.2,170,1,39,169,322.179,2.36
0.03,0.8,0.05,142,9,31,133,264.014,2.45
0.03,0.8,0.1,142,9,31,133,261.105,2.48
0.03,0.8,0.2,138,9,31,129,255.884,2.49
0.03,0.9,0.05,94,4,36,90,175.588,3.03
0.03,0.9,0.1,92,4,36,88,173.065,3.08
0.03,0.9,0.2,92,4,36,88,170.149,3.15
0.04,0.6,0.05,170,4,36,166,322.887,2.28
0.04,0.6,0.1,164,4,36,160,316.977,2.36
0.04,0.6,0.2,164,4,36,160,312.442,2.29
0.04,0.7,0.05,142,5,35,137,263.746,2.38
0.04,0.7,0.1,136,5,35,131,259.594,2.38
0.04,0.7,0.2,138,5,35,133,257.255,2.39
0.04,0.8,0.05,98,6,34,92,183.568,2.77
0.04,0.8,0.1,96,6,34,90,180.298,2.79
0.04,0.8,0.2,98,6,34,92,178.509,2.87
0.04,0.9,0.05,58,1,39,57,96.9981,5.35
0.04,0.9,0.1,58,1,39,57,95.1126,5.28
0.04,0.9,0.2,58,1,39,57,94.0149,5.31
0.05,0.6,0.05,172,6,34,166,301.822,2.49
0.05,0.6,0.1,162,6,34,156,293.734,2.36
0.05,0.6,0.2,158,6,34,152,288.838,2.45
0.05,0.7,0.05,158,5,35,153,255.453,2.70
0.05,0.7,0.1,152,5,35,147,250.895,2.68
0.05,0.7,0.2,154,5,35,149,247.576,2.76
0.05,0.8,0.05,102,6,34,96,177.054,2.97
0.05,0.8,0.1,100,6,34,94,174.004,2.96
0.05,0.8,0.2,100,6,34,94,172.225,2.96
0.05,0.9,0.05,62,1,39,61,94.6432,5.32
0.05,0.9,0.1,62,1,39,61,92.8322,5.22
0.05,0.9,0.2,62,1,39,61,91.1323,5.19
0.06,0.6,0.05,110,2,38,108,247.370,2.57
0.06,0.6,0.1,108,2,38,106,241.287,2.32
0.06,0.6,0.2,110,2,38,108,236.794,2.45
0.06,0.7,0.05,116,6,34,110,225.527,2.74
0.06,0.7,0.1,114,6,34,108,219.986,2.65
0.06,0.7,0.2,114,6,34,108,216.666,2.64
0.06,0.8,0.05,100,7,33,93,173.296,3.04
0.06,0.8,0.1,100,7,33,93,169.857,2.79
0.06,0.8,0.2,100,7,33,93,166.699,3.07
0.06,0.9,0.05,72,3,36,68,108.205,3.55
0.06,0.9,0.1,72,3,36,68,106.994,3.58
0.06,0.9,0.2,72,3,36,68,105.740,3.76
0.08,0.6,0.05,132,5,35,127,261.324,2.72
0.08,0.6,0.1,128,5,35,123,256.549,2.70
0.08,0.6,0.2,126,5,35,121,250.532,2.75
0.08,0.7,0.05,118,8,32,110,208.889,2.92
0.08,0.7,0.1,116,8,32,108,205.125,2.97
0.08,0.7,0.2,114,8,32,106,201.682,2.77
0.08,0.8,0.05,88,8,32,80,144.761,3.22
0.08,0.8,0.1,86,8,32,78,142.015,3.41
0.08,0.8,0.2,86,8,32,78,140.096,3.23
0.08,0.9,0.05,50,5,35,45,65.5802,5.46
0.08,0.9,0.1,50,5,35,45,65.4176,5.88
0.08,0.9,0.2,50,5,35,45,64.0443,5.72
