h,tauMin,kScale,allFaces,count,agree,refOnly,genOnly,energy,wallSec
0.025,0.7,0.1,true,226,6,34,220,428.435,3.30
0.025,0.8,0.1,true,156,5,35,151,318.000,3.60
0.025,0.85,0.1,true,108,1,39,107,239.772,4.21
0.025,0.9,0.1,true,92,2,38,90,178.674,5.68
0.025,0.93,0.1,true,72,4,36,68,114.441,7.53
0.025,0.95,0.1,true,54,1,39,53,80.1318,9.34
0.03,0.7,0.1,true,176,1,39,175,328.565,2.40
0.03,0.8,0.1,true,142,9,31,133,261.105,2.59
0.03,0.85,0.1,true,108,5,35,103,213.874,2.53
0.03,0.9,0.1,true,92,4,36,88,173.065,3.41
0.03,0.93,0.1,true,82,3,37,79,139.898,3.82
0.03,0.95,0.1,true,68,7,33,61,103.961,4.98
0.04,0.7,0.1,true,136,5,35,131,259.594,2.34
0.04,0.8,0.1,true,96,6,34,90,180.298,2.80
0.04,0.85,0.1,true,74,1,39,73,128.960,3.62
0.04,0.9,0.1,true,58,1,39,57,95.1126,5.35
0.04,0.93,0.1,true,52,3,37,49,71.4326,8.32
0.04,0.95,0.1,true,44,1,39,43,46.7552,11.32
0.05,0.7,0.1,true,152,5,35,147,250.895,2.68
0.05,0.8,0.1,true,100,6,34,94,174.004,2.90
0.05,0.85,0.1,true,68,5,35,63,123.724,3.31
0.05,0.9,0.1,true,62,1,39,61,92.8322,5.22
0.05,0.93,0.1,true,54,2,38,52,74.7423,6.87
0.05,0.95,0.1,true,46,3,37,43,50.8402,9.70
0.06,0.7,0.1,true,114,6,34,108,219.986,2.59
0.06,0.8,0.1,true,100,7,33,93,169.857,2.79
0.06,0.85,0.1,true,86,6,34,80,138.528,3.11
0.06,0.9,0.1,true,72,3,36,68,106.994,3.49
0.06,0.93,0.1,true,62,4,36,58,76.0246,4.64
0.06,0.95,0.1,true,54,4,36,50,59.8108,5.84
0.08,0.7,0.1,true,116,8,32,108,205.125,2.89
0.08,0.8,0.1,true,86,8,32,78,142.015,3.44
0.08,0.85,0.1,true,66,4,36,62,103.410,3.89
0.08,0.9,0.1,true,50,5,35,45,65.4176,5.65
0.08,0.93,0.1,true,44,3,37,41,40.1210,7.97
0.08,0.95,0.1,true,38,4,36,34,31.3131,10.11
0.025,0.7,0.1,false,142,3,37,139,207.785,8.94
0.025,0.8,0.1,false,92,5,35,87,146.033,10.12
0.025,0.85,0.1,false,64,2,38,62,110.511,11.07
0.025,0.9,0.1,false,58,2,38,56,83.9620,12.27
0.025,0.93,0.1,false,52,1,39,51,58.9472,13.34
0.025,0.95,0.1,false,44,2,38,42,43.5913,15.40
0.03,0.7,0.1,false,128,2,38,126,186.899,4.72
0.03,0.8,0.1,false,104,4,36,100,138.470,5.73
0.03,0.85,0.1,false,74,2,38,72,110.614,6.57
0.03,0.9,0.1,false,72,3,37,69,89.0646,8.18
0.03,0.93,0.1,false,60,4,36,56,73.1635,10.42
0.03,0.95,0.1,false,50,4,36,46,55.3933,11.37
0.04,0.7,0.1,false,102,3,37,99,139.705,5.98
0.04,0.8,0.1,false,66,6,34,60,93.2628,7.36
0.04,0.85,0.1,false,50,1,38,48,67.4478,8.78
0.04,0.9,0.1,false,44,4,36,40,50.6216,12.33
0.04,0.93,0.1,false,44,3,37,41,39.4968,16.15
0.04,0.95,0.1,false,40,3,37,37,29.0649,18.17
0.05,0.7,0.1,false,96,2,38,94,137.645,5.56
0.05,0.8,0.1,false,72,5,35,67,93.2647,6.80
0.05,0.85,0.1,false,52,2,38,50,68.5794,7.68
0.05,0.9,0.1,false,46,3,37,43,52.7432,11.12
0.05,0.93,0.1,false,46,3,37,43,43.0253,14.14
0.05,0.95,0.1,false,44,5,35,39,32.5910,16.89
0.06,0.7,0.1,false,84,3,37,81,135.035,4.51
0.06,0.8,0.1,false,80,4,36,76,99.3399,5.42
0.06,0.85,0.1,false,70,4,36,66,81.0071,6.16
0.06,0.9,0.1,false,66,2,38,64,63.6054,7.98
0.06,0.93,0.1,false,54,2,38,52,47.1540,10.14
0.06,0.95,0.1,false,42,2,38,40,37.1228,11.81
0.08,0.7,0.1,false,94,5,35,89,115.993,5.83
0.08,0.8,0.1,false,66,4,36,62,78.8113,7.43
0.08,0.85,0.1,false,58,4,35,53,59.5542,8.04
0.08,0.9,0.1,false,46,3,37,43,41.7289,10.13
0.08,0.93,0.1,false,40,4,36,36,28.2142,14.76
0.08,0.95,0.1,false,38,4,36,34,23.4043,18.04
