h,r0Mul,rRatio,tauMin,allFaces,count,agree,refOnly,genOnly,energy,wallSec
0.04,1.0,1.2,0.8,false,84,3,37,81,110.937,4.73
0.04,1.0,1.2,0.85,false,62,2,38,60,91.6034,4.91
0.04,1.0,1.2,0.9,false,46,1,38,44,65.1565,5.52
0.04,1.0,1.414,0.8,false,66,5,35,61,92.8965,5.16
0.04,1.0,1.414,0.85,false,50,1,38,48,67.7722,5.56
0.04,1.0,1.414,0.9,false,44,2,38,42,50.8560,7.04
0.04,1.0,2.0,0.8,false,158,8,32,150,241.100,5.40
0.04,1.0,2.0,0.85,false,120,6,34,114,207.189,5.78
0.04,1.0,2.0,0.9,false,106,5,35,101,175.088,6.64
0.04,1.0,100.0,0.8,false,80,4,36,76,123.987,8.83
0.04,1.0,100.0,0.85,false,80,3,37,77,115.453,9.50
0.04,1.0,100.0,0.9,false,74,5,35,69,105.893,10.02
0.04,2.0,1.2,0.8,false,56,8,32,48,76.0217,4.39
0.04,2.0,1.2,0.85,false,44,2,38,42,60.9759,4.77
0.04,2.0,1.2,0.9,false,40,4,36,36,39.0687,5.76
0.04,2.0,1.414,0.8,false,82,8,32,74,103.598,4.23
0.04,2.0,1.414,0.85,false,56,1,39,55,81.0140,4.35
0.04,2.0,1.414,0.9,false,54,3,37,51,62.9122,5.23
0.04,2.0,2.0,0.8,false,82,8,32,74,103.598,4.16
0.04,2.0,2.0,0.85,false,56,1,39,55,81.0140,4.35
0.04,2.0,2.0,0.9,false,54,3,37,51,62.9122,5.18
0.04,2.0,100.0,0.8,false,82,8,32,74,103.598,4.23
0.04,2.0,100.0,0.85,false,56,1,39,55,81.0140,4.44
0.04,2.0,100.0,0.9,false,54,3,37,51,62.9122,5.33
0.04,3.0,1.2,0.8,false,68,4,36,64,88.5935,4.19
0.04,3.0,1.2,0.85,false,60,4,36,56,72.8407,4.59
0.04,3.0,1.2,0.9,false,52,2,38,50,51.1364,5.14
0.04,3.0,1.414,0.8,false,68,4,36,64,88.5935,4.13
0.04,3.0,1.414,0.85,false,60,4,36,56,72.8407,4.54
0.04,3.0,1.414,0.9,false,52,2,38,50,51.1364,5.15
0.04,3.0,2.0,0.8,false,68,4,36,64,88.5935,4.18
0.04,3.0,2.0,0.85,false,60,4,36,56,72.8407,4.62
0.04,3.0,2.0,0.9,false,52,2,38,50,51.1364,5.07
0.04,3.0,100.0,0.8,false,68,4,36,64,88.5935,4.15
0.04,3.0,100.0,0.85,false,60,4,36,56,72.8407,4.62
0.04,3.0,100.0,0.9,false,52,2,38,50,51.1364,5.11
0.04,5.0,1.2,0.8,false,68,4,36,64,88.5935,4.16
0.04,5.0,1.2,0.85,false,60,4,36,56,72.8407,4.59
0.04,5.0,1.2,0.9,false,52,2,38,50,51.1364,5.05
