localMax,cgMax,count,agree,refOnly,genOnly,energy,maxResid,wallSec,localGS,cg,direct,localIters
50000,10,40,5,35,35,34.0129,0.370533,7.78,540,0,31,11478517
50000,25,40,5,35,35,34.0129,0.370533,7.21,539,8,24,11474402
50000,35,40,5,35,35,34.0129,0.370533,7.70,539,8,24,11474402
50000,50,40,5,35,35,34.0129,0.370533,7.18,538,11,22,11451551
65000,10,40,5,35,35,34.0129,0.370533,7.39,547,0,24,11847040
65000,25,40,5,35,35,34.0129,0.370533,6.99,547,1,23,11846690
65000,35,40,5,35,35,34.0129,0.370533,7.42,547,1,23,11846690
65000,50,40,5,35,35,34.0129,0.370533,7.70,547,2,22,11862936
80000,10,40,5,35,35,34.0129,0.370533,7.10,548,0,23,12185258
80000,25,40,5,35,35,34.0129,0.370533,6.93,548,0,23,12185258
80000,35,40,5,35,35,34.0129,0.370533,7.61,548,0,23,12185258
80000,50,40,5,35,35,34.0129,0.370533,7.17,548,3,20,12177280
100000,10,40,5,35,35,34.0129,0.370533,6.90,548,0,23,12625258
100000,25,40,5,35,35,34.0129,0.370533,7.15,548,1,22,12635635
100000,35,40,5,35,35,34.0129,0.370533,6.95,548,1,22,12635635
100000,50,40,5,35,35,34.0129,0.370533,7.89,548,4,19,12623750
