localTol,cgTol,bzkOrdered,count,agree,energy,maxResid,localGS,cg,direct,localIters,cgIters,wallSec
1e-4,1e-3,yes,40,3,31.8103,0.771671,525,15,1,2794362,3,3.75
1e-4,1e-5,no,40,2,31.8961,0.771671,533,14,1,2802276,390,3.64
1e-4,1e-7,no,40,3,31.9032,0.771671,536,14,1,2799463,1307,4.54
1e-5,1e-3,yes,40,3,31.6830,0.771671,505,23,1,6179643,3,3.95
1e-5,1e-5,yes,40,2,31.7616,0.771671,525,22,1,6286089,462,3.95
1e-5,1e-7,no,40,3,31.9448,0.771671,527,22,1,6296124,1904,5.05
1e-6,1e-3,yes,40,3,31.7127,0.771671,489,48,1,12567512,4,4.68
1e-6,1e-5,yes,40,2,31.7616,0.771671,501,46,1,12832378,479,5.21
1e-6,1e-7,no,40,3,31.9448,0.771671,507,42,1,12818853,2336,5.85
1e-7,1e-3,yes,40,3,31.7127,0.771671,321,216,1,20090014,5,4.94
1e-7,1e-5,yes,40,2,31.7616,0.771671,319,228,1,20611083,483,5.65
1e-7,1e-7,yes,40,3,31.9448,0.771671,338,211,1,20392288,3534,6.43
